SHADE Bestbronze :,% White,% Yellow ,% Red,% Black ,Total ,L,a,b,c*,h*,hexadecimal code
C 3.5,78.17,16.81,4.42,0.6,100,58.7,12,17,20.9,54.8,#ac8570
C 4,83.07,13.61,2.77,0.55,100,61.8,9.9,17.2,19.9,60.1,#b18e77
C 4.5,72.23,23.03,4.19,0.55,100,59.5,11.1,19.7,22.6,60.7,#ae886d
C 5,70.8,23.42,5.22,0.56,100,58.1,13,20.4,24.2,57.5,#ad8269
C 8,54.58,37.92,5.63,1.87,100,54.7,11.7,21.4,24.4,61.3,#a37b5f
C 10,47.71,43.5,6.49,2.3,100,52.8,12.1,21.9,25,61,#9e7559
C 40,76.12,20.3,2.4,1.18,100,60.1,8.8,20,21.8,66.3,#ac8a6e
C 45,58.37,37.03,2.44,2.16,100,57.4,8.6,23.9,25.4,70.2,#a68360
C 55,28.71,52.58,10.56,8.15,100,47.7,9.7,17.6,20.01,61.1,#8b6b54
N 3.5,92.23,6,1.47,0.3,100,66.7,7.9,11.7,14.2,55.9,#b99d8e
N 4.5,91.03,6.65,1.83,0.49,100,65.4,8.9,15.3,17.7,60,#b99984
N 4.75,85.8,10.55,2.67,0.98,100,61.3,8.8,15.2,17.5,59.9,#ad8e7a
N 5,88.51,8.07,2.11,1.31,100,62.4,7.6,14.2,16.1,61.9,#ae927e
N 6,87.6,8.95,2.38,1.07,100,62.3,9.3,15,17.7,58.2,#b1907d
N 6.5,80.81,13.75,3.92,1.52,100,59,9.4,14.7,17.5,57.4,#a88775
N 7,83.1,12.39,3.17,1.34,100,59.5,9.1,14.8,17.4,58.3,#a98976
N 8,73.41,20.44,4.5,1.65,100,56,9.9,17.4,20,60.2,#a27f69
N 9,70.2,23.4,4.3,2.1,100,56.3,10.5,19,21.7,61.1,#a48067
NC 5,90.79,7.1,1.51,0.6,100,64.3,7.1,11.9,13.9,59.1,#b19787
NC 6,91.31,7.07,1.42,0.2,100,66.1,8.6,13.6,16.1,57.8,#b99b89
NC 10,92.44,5.69,1.39,0.48,100,66.1,7.7,13.9,15.9,61.1,#b89b88
NC 11,92.64,6.09,0.98,0.29,100,67.7,7.1,16,17.5,66.1,#bca088
NC 12,90.52,7.71,1.18,0.59,100,66,7,13.9,15.6,63.4,#b69b88
NC 13,89.49,8.77,1.16,0.58,100,65.6,7.3,15.9,17.5,65.2,#b79a83
NC 14,88.05,9.75,1.3,0.9,100,63.4,7.2,15.5,17.1,65.1,#b1947e
NC 15,88.12,9.64,1.6,0.64,100,63.9,7.8,16.4,18.2,64.6,#b3957e
NC 16,87.09,10.18,2.1,0.63,100,63.4,8.9,16.8,19,61.9,#b4937c
NC 17,86.58,10.6,2.12,0.7,100,62,8.3,16.2,18.2,63,#af907a
NC 18,82.98,13.47,2.73,0.82,100,60.7,10.5,17.3,20.2,58.6,#af8b75
NC 20,80.91,15.83,2.46,0.8,100,61.1,10.7,20,22.7,61.8,#b28c71
NC 21,81.34,15.63,2.2,0.83,100,61.2,10.2,19.7,22.2,62.6,#b18c72
NC 25,78.07,17.99,3.03,0.91,100,60,9.6,18.9,21.2,63.2,#ad8a70
NC 27,77.02,17.67,4.41,0.9,100,57.3,12.7,18.3,22.3,55.2,#aa816a
NC 30,69.35,25.24,4.03,1.38,100,57.7,10.5,20,22.6,62.3,#a88368
NC 35,69.15,25.19,4.41,1.25,100,57.8,11,20.9,23.6,62.1,#aa8367
NC 37,73.08,21.62,4.31,0.99,100,57.9,10.9,18.4,21.4,59.4,#a9836b
NC 38,69.58,25.41,3.81,1.2,100,58.3,10.5,20.5,23.1,62.9,#aa8569
NC 39,69.55,25.41,3.81,1.23,100,58,10.7,20.8,23.4,62.8,#aa8468
NC 40,68.66,25.12,4.86,1.36,100,56.8,11.9,20.4,23.6,59.6,#a88066
NC 42,69.43,25.35,3.99,1.23,100,58.2,11,21.3,24,62.7,#ab8467
NC 44,61.25,32.23,5.21,1.31,100,56.4,12.3,21.9,25.1,60.8,#a87f62
NC 44.5,55.17,36.98,6.03,1.82,100,54.2,12.6,23.1,26.3,61.5,#a3795a
NC 45,51.05,40.18,7.15,1.62,100,54,13.3,22.1,25.8,59,#a3785c
NC 45.5,47.18,40.97,8.33,3.52,100,52.6,10.6,18.4,21.2,60,#97745c
NC 45.75,34.08,53.08,10.3,2.54,100,50.4,13.3,20.7,24.6,57.3,#996f55
NC 46,36.06,49.67,10.06,4.21,100,47.7,13,18,22.2,54.2,#906853
NC 47,39.62,46.82,10.44,3.12,100,50.5,12,19.2,22.7,58,#977058
NC 48,57.3,32.7,6.8,3.2,100,53.3,10.8,17.9,20.9,58.9,#9c7861
NC 49,16.8,65.7,12.4,5.1,100,48.2,11.4,18.3,21.5,58.2,#8f6b54
NC 50,21.92,57.5,15.39,5.19,100,47.3,12.5,17.2,21.3,54,#8e6854
NC 51,16.2,64.54,13.7,5.56,100,47.7,10.7,17.2,20.2,58.2,#8c6a55
NC 52,3.09,72.77,18.85,5.29,100,45.7,10.6,16.3,19.4,56.9,#866552
NC 53,17.73,61.44,14.53,6.3,100,46.9,12.2,18.5,22.2,56.7,#8d6751
NC 55,14.51,60.44,16.58,8.47,100,45.5,10.4,15.5,18.7,56.1,#856553
 NC58 ,29.88,47.54,13.83,8.75,100,46.1,0.11,0.15,0.19,0.56,#876654
NC 60,31.78,44.72,14.56,8.94,100,46.2,9.1,13.8,16.6,56.6,#846757
NW 10,92.98,5.13,1.4,0.49,100,66.7,6.9,10.5,12.6,56.6,#b69d90
NW 12,89.33,8.23,1.94,0.5,100,64.1,9.5,14.9,17.7,57.4,#b69581
NW 13,89.25,8.03,2.23,0.49,100,63.8,9.7,15.9,18.6,58.5,#b6947f
NW 14,79.57,15.93,3.75,0.75,100,58.2,12.3,17.6,21.5,55.2,#ab836e
NW 15,81.48,14.09,3.6,0.83,100,59.5,10.5,16.3,19.4,57.3,#ab8873
NW 18,78.97,16.26,4,0.77,100,59.4,11.4,17.9,21.2,57.5,#ad8770
NW 20,82.62,13,3.62,0.76,100,60.4,10.7,16.8,20,57.5,#af8a75
NW 22,78.75,16.14,4.21,0.9,100,59.2,11.5,17.7,21.1,57,#ad8770
NW 25,78.38,16.19,4.53,0.9,100,58.2,11.4,17.6,21,56.9,#aa846e
NW 27,77.67,16.22,4.67,1.44,100,56,11.8,16.5,20.3,54.4,#a47e6a
NW 30,75.68,17.72,5.61,0.99,100,57.4,12.5,17.1,21.2,53.9,#a9816d
NW 33,73.58,18.91,6.42,1.09,100,55.4,14,17.2,22.2,50.7,#a67b68
NW 34,63.89,27.68,6.14,2.29,100,52.4,11.6,17.4,21,56.3,#9a7560
NW 35,68.31,24.76,5.96,0.97,100,56.3,12.9,19.3,23.2,56.3,#a87e66
NW 40,62.07,29.98,6.4,1.55,100,55,12.7,17.8,21.9,54.6,#a37b65
NW 41,59.33,31.5,7.14,2.03,100,52.7,13.6,19.9,24.1,55.6,#9f745c
NW 41.5,59.83,28.17,8.48,3.52,100,52.4,11.8,17,20.7,55.2,#9b7561
NW 42,49.28,40.34,8.16,2.22,100,52.6,12.8,20.6,24.2,58.1,#9e755b
NW 43,43.56,42.19,12.08,2.17,100,51.4,13.5,19,23.3,54.6,#9b715b
